feature,source,identified_name,isomer,Mode,Adduct,MMD,KEGGID,HMDBID
C18_116.071716084541_32.1606589429505,library,L-VALINE,Y,C18,M-H,Y,C00183,HMDB0000883
C18_116.071716084541_32.1606589429505,library,5-AMINOPENTANOATE,Y,C18,M-H,Y,C00431,HMDB0003355
C18_117.01936898612_23.4537145220123,library,METHYLMALONATE,Y,C18,M-H,,C02170,HMDB0000202
C18_117.01936898612_23.4537145220123,library,SUCCINATE,Y,C18,M-H,,C00042,HMDB0000254
C18_118.05102256941_28.6776792705149,library,HOMOSERINE,Y,C18,M-H,Y,C00263,HMDB0000719
C18_118.05102256941_28.6776792705149,library,L-THREONINE,Y,C18,M-H,Y,C00188,HMDB0000167
C18_118.05102256941_28.6776792705149,library,L-ALLOTHREONINE,Y,C18,M-H,Y,C05519,HMDB0004041
C18_121.029505273178_29.2115421166529,library,BENZOATE,Y,C18,M-H,,C00539,HMDB0001870
C18_121.029505273178_29.2115421166529,library,BENZOATE,Y,C18,M-H,,C00539,HMDB0001870
C18_121.029505273178_29.2115421166529,library,3-HYDROXYBENZALDEHYDE,Y,C18,M-H,,C03067,NA
C18_128.03533382633_22.1248943197845,library,5-OXO-D-PROLINE,Y,C18,M-H,Y,C01879,HMDB0000267
C18_128.03533382633_22.1248943197845,library,5-OXO-L-PROLINE,Y,C18,M-H,Y,C01879,HMDB0000267
C18_129.019361823613_24.7524252234093,library,ITACONATE,Y,C18,M-H,,C00490,HMDB0002092
C18_129.019361823613_24.7524252234093,library,2-METHYLMALEATE,Y,C18,M-H,,C02226,HMDB0000634
C18_129.055752678572_26.9908238659977,library,3-METHYL-2-OXOVALERIC ACID,NA,C18,M-H,,C00671,HMDB0000491
C18_129.055752678572_26.9908238659977,library,4-METHYL-2-OXOVALERIC ACID,NA,C18,M-H,,C00233,HMDB0000695
C18_129.055752678572_26.9908238659977,library,4-METHYL-2-OXO-PENTANOIC ACID,NA,C18,M-H,,C00233,HMDB0000695
C18_129.092141998814_32.6261318391982,library,HEPTANOIC ACID,NA,C18,M-H,,C17714,HMDB0000666
C18_130.050952265146_24.1047427829115,library,CIS-4-HYDROXY-D-PROLINE,Y,C18,M-H,,C03440,HMDB0060460
C18_130.050952265146_24.1047427829115,library,TRANS-4-HYDROXYPROLINE,Y,C18,M-H,,C01157,HMDB0000725
C18_130.050952265146_24.1047427829115,library,4-HYDROXY-L-PROLINE,Y,C18,M-H,,C01157,HMDB0000725
C18_130.050952265146_24.1047427829115,library,N-ACETYL-L-ALANINE,Y,C18,M-H,,NA,HMDB0000766
C18_130.050952265146_24.1047427829115,library,5-AMINOLEVULINIC ACID,Y,C18,M-H,,C00430,HMDB0001149
C18_130.087360432386_32.4329434128114,library,LEUCINE,Y,C18,M-H,Y,C16439,HMDB0000687
C18_130.087360432386_32.4329434128114,library,L-ISOLEUCINE,Y,C18,M-H,Y,C00407,HMDB0000172
C18_130.087360432386_32.4329434128114,library,NORLEUCINE,Y,C18,M-H,Y,C01933,HMDB0001645
C18_131.034974134102_25.204981027203,library,GLUTARATE,Y,C18,M-H,,C00489,HMDB0000661
C18_131.034974134102_25.204981027203,library,ETHYLMALONIC ACID,Y,C18,M-H,,NA,HMDB0000622
C18_131.045596233311_28.1614439801292,library,3-UREIDOPROPIONATE,NA,C18,M-H,,C02642,HMDB0000026
C18_131.082615102635_24.2533844867437,library,L-ORNITHINE,Y,C18,M-H,Y,C00077,HMDB0000214
C18_131.082615102635_24.2533844867437,library,D-ORNITHINE,Y,C18,M-H,Y,C00515,HMDB0003374
C18_132.030232341338_22.9510930875489,library,D-ASPARTATE,NA,C18,M-H,Y,C00402,HMDB0006483
C18_133.01422266299_22.3004534324399,library,(S)-MALATE,Y,C18,M-H,,C00149,HMDB0000156
C18_133.01422266299_22.3004534324399,library,(R)-MALATE,Y,C18,M-H,,C00497,HMDB0031518
C18_135.031273681348_27.7950817901854,library,HYPOXANTHINE,NA,C18,M-H,Y,C00262,HMDB0000157
C18_135.045226753361_25.3595850154891,library,PHENYLACETIC ACID,Y,C18,M-H,,C07086,HMDB0000209
C18_135.045226753361_25.3595850154891,library,PHENYL ACETATE,Y,C18,M-H,,C07086,HMDB0000209
C18_137.024409239471_28.9328572899504,library,4-HYDROXYBENZOATE,Y,C18,M-H,,C00156,HMDB0000500
C18_137.024409239471_28.9328572899504,library,3-HYDROXYBENZOATE,Y,C18,M-H,,C00587,HMDB0002466
C18_137.024409239471_28.9328572899504,library,SALICYLATE,Y,C18,M-H,,C00805,HMDB0001895
C18_137.035631721409_33.0797916075618,library,UROCANATE,NA,C18,M-H,Y,C00785,HMDB0000301
C18_140.011861597031_25.7747914728259,library,2-AMINOETHYL DIHYDROGEN PHOSPHATE,Y,C18,M-H,Y,C00346,HMDB0000224
C18_140.011861597031_25.7747914728259,library,ETHANOLAMINE PHOSPHATE,Y,C18,M-H,Y,C00346,HMDB0000224
C18_141.030533996305_54.7992285254481,library,5-HYDROXYMETHYLURACIL,NA,C18,M-H,,C03088,HMDB0000469
C18_143.107752490164_58.0441686201417,library,CAPRYLIC ACID,NA,C18,M-H,,C06423,HMDB0000482
C18_144.066609192242_23.3647336670245,library,4-ACETAMIDOBUTANOATE,NA,C18,M-H,,C02946,HMDB0003681
C18_145.014255040112_21.6769411671531,library,ALPHA-KETOGLUTARIC ACID,NA,C18,M-H,,C00026,HMDB0000208
C18_145.050639153577_24.2228950092105,library,ADIPIC ACID,Y,C18,M-H,,C06104,HMDB0000448
C18_145.050639153577_24.2228950092105,library,MONO-METHYL GLUTARATE,Y,C18,M-H,Y,NA,HMDB0000858
C18_145.050639153577_24.2228950092105,library,2-METHYLGLUTARIC ACID,Y,C18,M-H,Y,NA,HMDB0000422
C18_145.050639153577_24.2228950092105,library,3-METHYGLUTARIC ACID,Y,C18,M-H,,NA,HMDB0000752
C18_145.061895333097_26.7982057630586,library,L-GLUTAMINE,NA,C18,M-H,Y,C00064,HMDB0000641
C18_145.09829409997_67.6409522671376,library,L-LYSINE,Y,C18,M-H,Y,C00047,HMDB0000182
C18_146.045895429823_22.1205382172459,library,N-ACETYL-DL-SERINE,Y,C18,M-H,,NA,NA
C18_146.045895429823_22.1205382172459,library,O-ACETYL-L-SERINE,Y,C18,M-H,Y,C00979,HMDB0003011
C18_146.045895429823_22.1205382172459,library,L-GLUTAMIC ACID,NA,C18,M-H,Y,C00025,HMDB0000148
C18_146.045895429823_22.1205382172459,library,N-METHYL-D-ASPARTIC ACID,Y,C18,M-H,Y,C12269,HMDB0002393
C18_147.029904162738_22.7004012866307,library,CITRAMALATE,NA,C18,M-H,,C00815,HMDB0000426
C18_147.04516286862_29.4779463347077,library,TRANS-CINNAMATE,NA,C18,M-H,Y,C10438,HMDB0000930
C18_147.066294175418_22.5965407011424,library,(RS)-MEVALONIC ACID LITHIUM SALT,NA,C18,M-H,,C00418,HMDB0000227
C18_148.043806350514_28.3189879291301,library,L-METHIONINE,NA,C18,M-H,Y,C00073,HMDB0000696
C18_151.026156447712_27.6074604220987,library,XANTHINE,NA,C18,M-H,,C00385,HMDB0000292
C18_151.040056884247_31.1604084398338,library,3-HYDROXYPHENYLACETATE,Y,C18,M-H,,C05593,HMDB0000440
C18_151.040056884247_31.1604084398338,library,2-HYDROXYPHENYLACETIC ACID,Y,C18,M-H,,C05852,HMDB0000669
C18_151.040056884247_31.1604084398338,library,MANDELIC ACID,Y,C18,M-H,,C01984,HMDB0000703
C18_151.040056884247_31.1604084398338,library,4-HYDROXYPHENYLACETATE,Y,C18,M-H,,C00642,HMDB0000020
C18_151.040056884247_31.1604084398338,library,"2',4'-DIHYDROXYACETOPHENONE",Y,C18,M-H,Y,C03663,HMDB0029659
C18_151.040056884247_31.1604084398338,library,RESORCINOL MONOACETATE,Y,C18,M-H,Y,C12064,HMDB0257165
C18_152.002307498826_20.8561388346458,library,3-SULFINO-L-ALANINE,NA,C18,M-H,,C00606,HMDB0000996
C18_154.062217288717_35.9196579746965,library,L-HISTIDINE,NA,C18,M-H,Y,C00135,HMDB0000177
C18_154.062217288717_35.9196579746965,library,L-HISTIDINE,NA,C18,M-H,Y,C00135,HMDB0000177
C18_155.009826432526_27.2499025655517,library,"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID",Y,C18,M-H,,C03030,NA
C18_155.009826432526_27.2499025655517,library,OROTATE,Y,C18,M-H,,C00295,HMDB0000226
C18_157.12340357219_90.4150379081549,library,NONANOATE,NA,C18,M-H,,C01601,HMDB0000847
C18_159.029863894819_20.1878376953734,library,2-OXOADIPATE,NA,C18,M-H,,C00322,HMDB0000225
C18_159.066232433945_22.3894529974279,library,6-CARBOXYHEXANOATE,NA,C18,M-H,,C02656,HMDB0000857
C18_160.061490012111_22.270007066341,library,ALPHA-AMINOADIPATE,Y,C18,M-H,,C00956,HMDB0000510
C18_160.061490012111_22.270007066341,library,N-METHYL-L-GLUTAMATE,Y,C18,M-H,,C01046,HMDB0062660
C18_161.045527887506_28.6301627536564,library,3-HYDROXY-3-METHYLGLUTARATE,NA,C18,M-H,,C03761,HMDB0000355
C18_163.040092108837_30.328821759129,library,4-COUMARATE,Y,C18,M-H,Y,C00811,HMDB0002035
C18_163.040092108837_30.328821759129,library,PHENYLPYRUVATE,Y,C18,M-H,Y,C00166,HMDB0000205
C18_163.061234101355_27.6628938554287,library,FUCOSE,NA,C18,M-H,,C01019,HMDB0000174
C18_164.071656419552_29.7362411785962,library,L-PHENYLALANINE,NA,C18,M-H,Y,C00079,HMDB0000159
C18_165.055680619948_29.4380244206214,library,3-(2-HYDROXYPHENYL)PROPANOATE,NA,C18,M-H,Y,C01198,HMDB0033752
C18_167.020998383619_24.1854985898863,library,URATE,NA,C18,M-H,,C00366,HMDB0000289
C18_167.034563436161_25.002875960167,library,HOMOGENTISATE,NA,C18,M-H,,C00544,HMDB0000130
C18_168.077845474974_38.0736219589941,library,N(PAI)-METHYL-L-HISTIDINE,NA,C18,M-H,Y,C01152,HMDB0000001
C18_168.990756991012_21.662140329294,library,DIHYDROXYACETONE PHOSPHATE,NA,C18,M-H,,C00111,HMDB0001473
C18_171.006431332588_21.8309703044858,library,SN-GLYCEROL 3-PHOSPHATE,NA,C18,M-H,,C00093,HMDB0000126
C18_171.006431332588_21.8309703044858,library,GLYCEROL 2-PHOSPHATE,NA,C18,M-H,,C02979,HMDB0002520
C18_172.097960935503_41.4345081041317,library,N-ACETYL-L-LEUCINE,NA,C18,M-H,,C02710,HMDB0011756
C18_173.00908182738_26.9013444996156,library,TRANS-ACONITATE,NA,C18,M-H,,C02341,HMDB0000958
C18_173.045500988407_19.3568209470472,library,SHIKIMATE,NA,C18,M-H,,C00493,HMDB0003070
C18_173.056708147794_20.9114093216966,library,N-ALPHA-ACETYL-L-ASPARAGINE,NA,C18,M-H,,NA,HMDB0006028
C18_173.081891086145_23.8005616188416,library,SUBERIC ACID,NA,C18,M-H,,C08278,HMDB0000893
C18_174.040746097385_21.9073400259763,library,N-ACETYL-L-ASPARTIC ACID,NA,C18,M-H,,C01042,HMDB0000812
C18_174.055195134158_22.5877972713178,library,INDOLE-3-ACETATE,Y,C18,M-H,,C00954,HMDB0000197
C18_174.055195134158_22.5877972713178,library,INDOLE-3-ACETIC ACID,Y,C18,M-H,,C00954,HMDB0000197
C18_174.088371121122_26.8018500980431,library,CITRULLINE,NA,C18,M-H,Y,C00327,HMDB0000904
C18_175.024789531992_21.7149423067452,library,D-GLUCURONOLACTONE,Y,C18,M-H,,C02670,HMDB0006355
C18_175.024789531992_21.7149423067452,library,ASCORBATE,Y,C18,M-H,,C01041,HMDB0000044
C18_177.040415958989_24.562595232096,library,D-GULONIC ACID GAMA-LACTONE,Y,C18,M-H,,C01040,HMDB0003466
C18_177.040415958989_24.562595232096,library,"D-GLUCONO-1,5-LACTONE",Y,C18,M-H,,C00198,HMDB0000150
C18_180.066646389216_28.7977032690414,library,L-TYROSINE,NA,C18,M-H,Y,C00082,HMDB0000158
C18_181.050674611375_25.9046700977417,library,HOMOVANILLATE,Y,C18,M-H,,C05582,HMDB0000118
C18_181.050674611375_25.9046700977417,library,3-(4-HYDROXYPHENYL)LACTATE,Y,C18,M-H,,C03672,HMDB0000755
C18_181.050674611375_25.9046700977417,library,METHYL VANILLATE,Y,C18,M-H,,NA,HMDB0240266
C18_184.985617615634_20.3744474371944,library,D-(-)-3-PHOSPHOGLYCERIC ACID,NA,C18,M-H,,C00597,HMDB0000807
C18_184.985617615634_20.3744474371944,library,L-2-PHOSPHOGLYCERIC ACID,NA,C18,M-H,,NA,HMDB0000362
C18_187.097555457976_25.3670600883661,library,AZELAIC ACID,NA,C18,M-H,,C08261,HMDB0000784
C18_187.10879084982_25.7227750724253,library,NALPHA-ACETYL-L-LYSINE,NA,C18,M-H,Y,C12989,HMDB0000446
C18_187.133931617103_23.9030009555982,library,10-HYDROXYDECANOATE,NA,C18,M-H,,C02774,NA
C18_188.056445741451_18.4344152056992,library,N-ACETYL-DL-GLUTAMIC ACID,NA,C18,M-H,,C00624,HMDB0001138
C18_191.019738008289_23.8105768328583,library,CITRATE,Y,C18,M-H,,C00158,HMDB0000094
C18_191.019738008289_23.8105768328583,library,ISOCITRIC ACID,Y,C18,M-H,,C00311,HMDB0000193
C18_193.035332504484_20.7984619906866,library,D-(+)-GALACTURONIC ACID,NA,C18,M-H,,C08348,HMDB0002545
C18_193.035332504484_20.7984619906866,library,D-GLUCURONIC ACID,NA,C18,M-H,,C00191,HMDB0000127
C18_195.050957625235_24.3102826883418,library,D-GLUCONATE,Y,C18,M-H,Y,C00257,HMDB0000625
C18_195.050957625235_24.3102826883418,library,GLUCONIC ACID,Y,C18,M-H,Y,C00257,HMDB0000625
C18_199.1703286047_163.561685750705,library,LAURIC ACID,NA,C18,M-H,,C02679,HMDB0000638
C18_203.082584447049_29.4784517255448,library,D-TRYPTOPHAN,Y,C18,M-H,Y,C00525,HMDB0013609
C18_203.082584447049_29.4784517255448,library,L-TRYPTOPHAN,Y,C18,M-H,Y,C00078,HMDB0000929
C18_209.030271966281_21.7489247835308,library,D-SACCHARIC ACID,NA,C18,M-H,,C00818,HMDB0029881
C18_209.030271966281_21.7489247835308,library,GALACTARATE,NA,C18,M-H,,C00879,HMDB0000639
C18_212.001858856454_27.0596750400212,library,INDOXYL SULFATE,NA,C18,M-H,,NA,HMDB0000682
C18_214.048619176895_25.2427073387097,library,D-(+)-GLUCOSAMINE,NA,C18,M+Cl,Y,C00329,HMDB0001514
C18_215.03281645846_24.9857688108116,library,D-FRUCTOSE,Y,C18,M+Cl,Y,C02336,HMDB0000660
C18_215.03281645846_24.9857688108116,library,L-SORBOSE,Y,C18,M+Cl,Y,C08356,HMDB0001266
C18_215.03281645846_24.9857688108116,library,MYO-INOSITOL,Y,C18,M+Cl,Y,C00137,HMDB0000211
C18_215.03281645846_24.9857688108116,library,MANNOSE,Y,C18,M+Cl,Y,C00936,HMDB0000169
C18_215.03281645846_24.9857688108116,library,D-GALACTOSE,Y,C18,M+Cl,Y,C00984,HMDB0000143
C18_215.03281645846_24.9857688108116,library,ALPHA-D-GLUCOSE,Y,C18,M+Cl,Y,C00267,HMDB0003345
C18_215.03281645846_24.9857688108116,library,ALLOSE,Y,C18,M+Cl,Y,C01487,HMDB0001151
C18_215.03281645846_24.9857688108116,library,D-TAGATOSE,Y,C18,M+Cl,Y,C00795,HMDB0003418
C18_215.03281645846_24.9857688108116,library,D-PSICOSE,Y,C18,M+Cl,,C06468,NA
C18_217.04837460763_26.7486044487703,library,MANNITOL,NA,C18,M+Cl,Y,C00392,HMDB0000765
C18_218.066944193299_22.5802760187151,library,O-SUCCINYL-L-HOMOSERINE,NA,C18,M-H,Y,C01118,HMDB0255868
C18_218.103311573337_24.3604560020591,library,D-PANTOTHENIC ACID,NA,C18,M-H,Y,C00864,HMDB0000210
C18_221.059244074034_25.3303140893189,library,L-CYSTATHIONINE,NA,C18,M-H,Y,C02291,HMDB0000099
C18_225.099258365998_33.9677444268885,library,CARNOSINE,NA,C18,M-H,,C00386,HMDB0000033
C18_227.201702684804_209.516635918799,library,MYRISTIC ACID,NA,C18,M-H,,C06424,HMDB0000806
C18_229.011820333706_22.3494733521175,library,D-RIBOSE 5-PHOSPHATE,NA,C18,M-H,,C03736,HMDB0001548
C18_243.062163980462_28.7390606420913,library,URIDINE,NA,C18,M-H,,C00299,HMDB0000296
C18_253.217285979806_218.809026361708,library,PALMITOLEIC ACID,NA,C18,M-H,,C08362,HMDB0003229
C18_255.232923479779_238.289884225802,library,PALMITATE,NA,C18,M-H,,C00249,HMDB0000220
C18_258.038136614618_22.6555518600751,library,D-GLUCOSAMINE 6-PHOSPHATE,NA,C18,M-H,Y,C00352,HMDB0001254
C18_259.022351851021_21.6849633211585,library,ALPHA-D-GALACTOSE 1-PHOSPHATE,NA,C18,M-H,Y,C00446,HMDB0000645
C18_259.022351851021_21.6849633211585,library,ALPHA-D-GLUCOSE 1-PHOSPHATE,Y,C18,M-H,Y,C00103,HMDB0001586
C18_259.022351851021_21.6849633211585,library,D-GLUCOSE 6-PHOSPHATE,Y,C18,M-H,Y,C00092,HMDB0001401
C18_259.022351851021_21.6849633211585,library,D-FRUCTOSE 6-PHOSPHATE,Y,C18,M-H,Y,C00085,HMDB0000124
C18_259.022351851021_21.6849633211585,library,D-MANNOSE 6-PHOSPHATE,Y,C18,M-H,Y,C00275,HMDB0001078
C18_259.022351851021_21.6849633211585,library,D-GLUCOSE-6-PHOSPHATE,Y,C18,M-H,Y,C00092,HMDB0001401
C18_266.089122234751_27.9402208039293,library,2'-DEOXYGUANOSINE,NA,C18,M-H,Y,C00330,HMDB0000085
C18_266.089122234751_27.9402208039293,library,ADENOSINE,NA,C18,M-H,Y,C00212,HMDB0000050
C18_267.073027761908_25.9116450757626,library,INOSINE,NA,C18,M-H,Y,C00294,HMDB0000195
C18_269.248586993142_284.851369918167,library,HEPTADECANOATE,NA,C18,M-H,,NA,HMDB0002259
C18_269.248587954539_247.973427174024,library,HEPTADECANOATE,NA,C18,M-H,,NA,HMDB0002259
C18_275.017401159846_18.8333937524597,library,6-PHOSPHOGLUCONIC ACID,NA,C18,M-H,,C00345,HMDB0001316
C18_277.216613309586_210.683849783096,library,GAMMA-LINOLENIC ACID,NA,C18,M-H,Y,C06426,HMDB0003073
C18_279.232945064027_226.488611440626,library,LINOLEATE,NA,C18,M-H,Y,C01595,HMDB0000673
C18_281.248482265551_242.719241404675,library,ELAIDIC ACID,Y,C18,M-H,,C01712,HMDB0000573
C18_281.248482265551_242.719241404675,library,PETROSELINIC ACID,Y,C18,M-H,,NA,HMDB0002080
C18_281.248482265551_242.719241404675,library,OLEATE,Y,C18,M-H,Y,C00712,HMDB0000207
C18_282.084299795128_26.7424299073101,library,GUANOSINE,NA,C18,M-H,Y,C00387,HMDB0000133
C18_283.264282813428_260.791804561989,library,STEARATE,NA,C18,M-H,,C01530,HMDB0000827
C18_288.12043651725_23.6999483810823,library,OPHTHALMIC ACID,NA,C18,M-H,Y,NA,HMDB0005765
C18_299.201424360092_200.214689726608,library,RETINOATE,NA,C18,M-H,,C00777,HMDB0001852
C18_308.098762248962_21.3610567198205,library,N-ACETYLNEURAMINATE,NA,C18,M-H,,C19910,HMDB0000230
C18_311.295572465039_281.9938146925,library,ARACHIDIC ACID,NA,C18,M-H,,C06425,HMDB0002212
C18_322.044407015314_21.8977141505147,library,3'-CMP,NA,C18,M-H,,C00055,HMDB0000095
C18_323.028351368704_21.7500097330945,library,URIDINE-5-MONOPHOSPHATE,NA,C18,M-H,,C00105,HMDB0000288
C18_327.232543947799_215.536616765139,library,DOCOSAHEXAENOIC ACID,NA,C18,M-H,,C06429,HMDB0002183
C18_338.988671714278_17.8720081271982,library,"FRUCTOSE 1,6-BIPHOSPHATE",NA,C18,M-H,,C05378,HMDB0001058
C18_346.055732017747_21.0185432839406,library,2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE,Y,C18,M-H,,C00362,HMDB0001044
C18_346.055732017747_21.0185432839406,library,ADENOSINE 5'-MONOPHOSPHATE,Y,C18,M-H,,C00020,HMDB0000045
C18_347.039723661661_21.5145005380998,library,INOSINE 5'-MONOPHOSPHATE,Y,C18,M-H,,C00130,HMDB0000175
C18_347.039723661661_21.5145005380998,library,INOSINE 5'-PHOSPHATE,Y,C18,M-H,,C00130,HMDB0000175
C18_362.050586139498_20.5375555843735,library,GUANOSINE 5'-MONOPHOSPHATE,NA,C18,M-H,,C00144,HMDB0001397
C18_363.033889635023_23.3557270917654,library,XANTHOSINE 5'-MONOPHOSPHATE,NA,C18,M-H,,C00655,HMDB0001554
C18_382.550362572716_20.0166321252854,library,COENZYME A,NA,C18,M-2H,,C00010,HMDB0001423
C18_383.114197471492_26.7518976666303,library,S-(5'-ADENOSYL)-L-HOMOCYSTEINE,NA,C18,M-H,Y,C00021,HMDB0000939
C18_407.207168393324_75.2383089012459,library,CORTISOL,NA,C18,M+FA-H,,C00735,HMDB0000063
C18_426.022186804983_22.4987525889553,library,"ADENOSINE 3',5'-DIPHOSPHATE",Y,C18,M-H,,C00054,HMDB0000061
C18_426.022186804983_22.4987525889553,library,ADENOSINE 5'-DIPHOSPHATE,Y,C18,M-H,,C00008,HMDB0001341
C18_426.022186804983_22.4987525889553,library,2'-DEOXYGUANOSINE 5'-DIPHOSPHATE,NA,C18,M-H,,C00361,HMDB0000960
C18_442.017125690057_20.4024178466533,library,GUANOSINE 5'-DIPHOSPHATE,NA,C18,M-H,,C00035,HMDB0001201
C18_482.96095574325_19.0214941854884,library,URIDINE 5'-TRIPHOSPHATE,Y,C18,M-H,,C00075,HMDB0000285
C18_482.96095574325_19.0214941854884,library,URIDINE 5'-TRIPHOSPHATE,Y,C18,M-H,,C00075,HMDB0000285
C18_558.063717486698_20.009922908387,library,ADENOSINE 5'-DIPHOSPHORIBOSE,NA,C18,M-H,,C00301,HMDB0001178
C18_565.046893723164_19.8876713278813,library,URIDINE 5'-DIPHOSPHOGLUCOSE,NA,C18,M-H,,C00029,HMDB0000286
C18_579.029214658424_20.657738864146,library,URIDINE 5'-DIPHOSPHOGLUCURONIC ACID,NA,C18,M-H,,C00167,HMDB0000935
C18_583.253549948625_153.447669678838,library,BILIRUBIN,NA,C18,M-H,Y,C00486,HMDB0000054
C18_588.07442889245_20.4133611371968,library,ADENOSINE-5'-DIPHOSPHOGLUCOSE,NA,C18,M-H,,C00498,HMDB0006557
C18_604.069354622255_20.1043451258744,library,GUANOSINE 5'-DIPHOSPHOGLUCOSE,NA,C18,M-H,,NA,NA
C18_604.069354622255_20.1043451258744,library,GUANOSINE 5'-DIPHOSPHO-D-MANNOSE,NA,C18,M-H,,NA,NA
C18_606.073997523684_20.1965073291406,library,URIDINE 5'-DIPHOSPHO-N-ACETYLGLUCOSAMINE,NA,C18,M-H,,C00043,HMDB0000290
C18_606.073997523684_20.1965073291406,library,URIDINE 5'-DIPHOSPHO-N-ACETYLGALACTOSAMINE,NA,C18,M-H,,NA,HMDB0000304
C18_662.101419869047_20.4823488808785,library,NAD,NA,C18,M-H,Y,C00003,HMDB0000902
C18_742.070425533091_19.6696299620776,library,BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE PHOSPHATE,NA,C18,M-H,,C00006,HMDB0000217
C18_784.152505274435_20.3419974152815,library,FLAVIN ADENINE DINUCLEOTIDE,NA,C18,M-H,,C00016,HMDB0001248
C18_87.008748837038_24.060863492984,library,PYRUVATE,NA,C18,M-H,,C00022,HMDB0000243
C18_87.0451523923482_30.0180498985361,library,BUTANOATE,NA,C18,M-H,,C00246,HMDB0000039
C18_88.0404094921819_29.4394003605193,library,L-ALANINE,Y,C18,M-H,Y,C00041,HMDB0000161
C18_88.0404094921819_29.4394003605193,library,BETA-ALANINE,Y,C18,M-H,Y,C00099,HMDB0000056
C18_88.0404094921819_29.4394003605193,library,SARCOSINE,Y,C18,M-H,Y,C00213,HMDB0000271
C18_88.0404094921819_29.4394003605193,library,D-ALANINE,Y,C18,M-H,Y,C00133,HMDB0001310
C18_88.9880435666205_31.5445860260535,library,OXALIC ACID,NA,C18,M-H,,C00209,HMDB0002329
C18_89.024436719819_25.6010465145833,library,GLYCERALDEHYDE,Y,C18,M-H,,C02154,HMDB0001051
C18_89.024436719819_25.6010465145833,library,(S)-LACTATE,Y,C18,M-H,,C00186,HMDB0000190
C18_99.0451763397961_27.6684926417594,library,5-VALEROLACTONE,NA,C18,M-H,Y,C02240,NA
HILIC_101.05967705804_29.3529418647955,library,5-VALEROLACTONE,NA,HILIC,M+H,Y,C02240,NA
HILIC_102.054944378965_77.7703186188898,library,1-AMINOCYCLOPROPANE-1-CARBOXYLATE,NA,HILIC,M+H,,C01234,HMDB0036458
HILIC_104.070569221783_54.7384193228796,library,4-AMINOBUTANOATE,Y,HILIC,M+H,Y,C00334,HMDB0000112
HILIC_104.070569221783_54.7384193228796,library,2-AMINO-2-METHYLPROPANOATE,Y,HILIC,M+H,Y,C03665,HMDB0001906
HILIC_104.070569221783_54.7384193228796,library,4-AMINOBUTANOATE,Y,HILIC,M+H,Y,C00334,HMDB0000112
